Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Practice_TS_1,Firefox 68.0,,,2019-07-25 11:31:54,2019-07-25 11:32:55,1m - 1.731s,INCOMPLETE
,,,,,,,
Test Cases/tc_0_0_1_RR_ASA_quality_academy_attend,Firefox 68.0,,,2019-07-25 11:31:54,2019-07-25 11:32:04,9.792s,PASSED
"openBrowser("""")",Firefox 68.0,,,2019-07-25 11:31:54,2019-07-25 11:31:58,3.841s,PASSED
maximizeWindow(),Firefox 68.0,,,2019-07-25 11:31:58,2019-07-25 11:31:58,0.032s,PASSED
"navigateToUrl(""https://www.asaquality.ee/"")",Firefox 68.0,,,2019-07-25 11:31:58,2019-07-25 11:31:59,1.354s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Avaleht - ASA Quality Services/button_EST""))",Firefox 68.0,,,2019-07-25 11:31:59,2019-07-25 11:32:00,0.313s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Avaleht - ASA Quality Services/a_ENG""))",Firefox 68.0,,,2019-07-25 11:32:00,2019-07-25 11:32:01,1.135s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_About Us - ASA Quality/a_Academy""))",Firefox 68.0,,,2019-07-25 11:32:01,2019-07-25 11:32:02,1.112s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/button_Attend""))",Firefox 68.0,,,2019-07-25 11:32:02,2019-07-25 11:32:02,0.273s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/input_Error on form submit_btn btn-primary w-100 my-0""), STOP_ON_FAILURE)",Firefox 68.0,,,2019-07-25 11:32:02,2019-07-25 11:32:02,0.272s,PASSED
"waitForElementAttributeValue(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/div_First and last name""), ""class"", ""form-group has-error"", 2)",Firefox 68.0,,,2019-07-25 11:32:02,2019-07-25 11:32:03,0.060s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/button_close""))",Firefox 68.0,,,2019-07-25 11:32:03,2019-07-25 11:32:03,0.232s,PASSED
closeBrowser(),Firefox 68.0,,,2019-07-25 11:32:03,2019-07-25 11:32:04,0.911s,PASSED
,,,,,,,
Test Cases/tc_0_1_1_MM_Katalon_Demo_Kura_Login,Firefox 68.0,,,2019-07-25 11:32:04,2019-07-25 11:32:10,6.079s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/profile.php#login"")",Firefox 68.0,,,2019-07-25 11:32:04,2019-07-25 11:32:08,3.973s,PASSED
maximizeWindow(),Firefox 68.0,,,2019-07-25 11:32:08,2019-07-25 11:32:08,0.010s,PASSED
"click(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/button_Login""))",Firefox 68.0,,,2019-07-25 11:32:08,2019-07-25 11:32:08,0.398s,PASSED
"waitForElementPresent(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/p_Login failed Please ensure the username and password are valid""), 2)",Firefox 68.0,,,2019-07-25 11:32:08,2019-07-25 11:32:08,0.024s,PASSED
"setText(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Firefox 68.0,,,2019-07-25 11:32:08,2019-07-25 11:32:08,0.057s,PASSED
"setText(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/input_Password_password""), ""ThisIsNotAPassword"")",Firefox 68.0,,,2019-07-25 11:32:08,2019-07-25 11:32:08,0.071s,PASSED
