Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Practice_TS_1,Firefox 68.0,,,2019-07-25 12:17:49,2019-07-25 12:18:06,16.443s,INCOMPLETE
,,,,,,,
Test Cases/tc_0_0_1_RR_ASA_quality_academy_attend,Firefox 68.0,,,2019-07-25 12:17:50,2019-07-25 12:18:00,10.106s,PASSED
"openBrowser("""")",Firefox 68.0,,,2019-07-25 12:17:50,2019-07-25 12:17:54,3.948s,PASSED
maximizeWindow(),Firefox 68.0,,,2019-07-25 12:17:54,2019-07-25 12:17:54,0.033s,PASSED
"navigateToUrl(""https://www.asaquality.ee/"")",Firefox 68.0,,,2019-07-25 12:17:54,2019-07-25 12:17:55,1.389s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Avaleht - ASA Quality Services/button_EST""))",Firefox 68.0,,,2019-07-25 12:17:55,2019-07-25 12:17:56,0.373s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Avaleht - ASA Quality Services/a_ENG""))",Firefox 68.0,,,2019-07-25 12:17:56,2019-07-25 12:17:57,1.160s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_About Us - ASA Quality/a_Academy""))",Firefox 68.0,,,2019-07-25 12:17:57,2019-07-25 12:17:58,1.135s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/button_Attend""))",Firefox 68.0,,,2019-07-25 12:17:58,2019-07-25 12:17:58,0.264s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/input_Error on form submit_btn btn-primary w-100 my-0""), STOP_ON_FAILURE)",Firefox 68.0,,,2019-07-25 12:17:58,2019-07-25 12:17:59,0.259s,PASSED
"waitForElementAttributeValue(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/div_First and last name""), ""class"", ""form-group has-error"", 2)",Firefox 68.0,,,2019-07-25 12:17:59,2019-07-25 12:17:59,0.063s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/button_close""))",Firefox 68.0,,,2019-07-25 12:17:59,2019-07-25 12:17:59,0.239s,PASSED
closeBrowser(),Firefox 68.0,,,2019-07-25 12:17:59,2019-07-25 12:18:00,0.933s,PASSED
,,,,,,,
Test Cases/tc_0_1_1_MM_Katalon_Demo_Kura_Login,Firefox 68.0,,,2019-07-25 12:18:00,2019-07-25 12:18:06,6.094s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/profile.php#login"")",Firefox 68.0,,,2019-07-25 12:18:00,2019-07-25 12:18:04,3.947s,PASSED
maximizeWindow(),Firefox 68.0,,,2019-07-25 12:18:04,2019-07-25 12:18:04,0.011s,PASSED
"click(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/button_Login""))",Firefox 68.0,,,2019-07-25 12:18:04,2019-07-25 12:18:04,0.392s,PASSED
"waitForElementPresent(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/p_Login failed Please ensure the username and password are valid""), 2)",Firefox 68.0,,,2019-07-25 12:18:04,2019-07-25 12:18:04,0.028s,PASSED
"setText(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Firefox 68.0,,,2019-07-25 12:18:04,2019-07-25 12:18:04,0.058s,PASSED
"setText(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/input_Password_password""), ""ThisIsNotAPassword"")",Firefox 68.0,,,2019-07-25 12:18:04,2019-07-25 12:18:05,0.048s,PASSED
"click(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/button_Login""))",Firefox 68.0,,,2019-07-25 12:18:05,2019-07-25 12:18:05,0.361s,PASSED
"verifyTextPresent(""Make Appointment"", false, CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-07-25 12:18:05,2019-07-25 12:18:05,0.108s,PASSED
closeBrowser(),Firefox 68.0,,,2019-07-25 12:18:05,2019-07-25 12:18:06,0.888s,PASSED
