Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Practice_TS_1,Firefox 68.0,,,2019-07-25 11:34:56,2019-07-25 11:35:57,1m - 0.961s,INCOMPLETE
,,,,,,,
Test Cases/tc_0_0_1_RR_ASA_quality_academy_attend,Firefox 68.0,,,2019-07-25 11:34:57,2019-07-25 11:35:06,9.689s,PASSED
"openBrowser("""")",Firefox 68.0,,,2019-07-25 11:34:57,2019-07-25 11:35:01,3.763s,PASSED
maximizeWindow(),Firefox 68.0,,,2019-07-25 11:35:01,2019-07-25 11:35:01,0.024s,PASSED
"navigateToUrl(""https://www.asaquality.ee/"")",Firefox 68.0,,,2019-07-25 11:35:01,2019-07-25 11:35:02,1.395s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Avaleht - ASA Quality Services/button_EST""))",Firefox 68.0,,,2019-07-25 11:35:02,2019-07-25 11:35:02,0.308s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Avaleht - ASA Quality Services/a_ENG""))",Firefox 68.0,,,2019-07-25 11:35:02,2019-07-25 11:35:03,1.123s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_About Us - ASA Quality/a_Academy""))",Firefox 68.0,,,2019-07-25 11:35:03,2019-07-25 11:35:04,1.102s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/button_Attend""))",Firefox 68.0,,,2019-07-25 11:35:04,2019-07-25 11:35:05,0.258s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/input_Error on form submit_btn btn-primary w-100 my-0""), STOP_ON_FAILURE)",Firefox 68.0,,,2019-07-25 11:35:05,2019-07-25 11:35:05,0.254s,PASSED
"waitForElementAttributeValue(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/div_First and last name""), ""class"", ""form-group has-error"", 2)",Firefox 68.0,,,2019-07-25 11:35:05,2019-07-25 11:35:05,0.052s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/button_close""))",Firefox 68.0,,,2019-07-25 11:35:05,2019-07-25 11:35:05,0.229s,PASSED
closeBrowser(),Firefox 68.0,,,2019-07-25 11:35:05,2019-07-25 11:35:06,0.916s,PASSED
,,,,,,,
Test Cases/tc_0_1_1_MM_Katalon_Demo_Kura_Login,Firefox 68.0,,,2019-07-25 11:35:06,2019-07-25 11:35:12,6.224s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/profile.php#login"")",Firefox 68.0,,,2019-07-25 11:35:06,2019-07-25 11:35:11,4.094s,PASSED
maximizeWindow(),Firefox 68.0,,,2019-07-25 11:35:11,2019-07-25 11:35:11,0.009s,PASSED
"click(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/button_Login""))",Firefox 68.0,,,2019-07-25 11:35:11,2019-07-25 11:35:11,0.393s,PASSED
"waitForElementPresent(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/p_Login failed Please ensure the username and password are valid""), 2)",Firefox 68.0,,,2019-07-25 11:35:11,2019-07-25 11:35:11,0.021s,PASSED
