Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Practice_TS_1,Firefox 68.0,,,2019-07-25 11:20:50,2019-07-25 11:21:52,1m - 1.856s,INCOMPLETE
,,,,,,,
Test Cases/tc_0_0_1_RR_ASA_quality_academy_attend,Firefox 68.0,,,2019-07-25 11:20:51,2019-07-25 11:21:00,9.737s,PASSED
"openBrowser("""")",Firefox 68.0,,,2019-07-25 11:20:51,2019-07-25 11:20:55,3.800s,PASSED
maximizeWindow(),Firefox 68.0,,,2019-07-25 11:20:55,2019-07-25 11:20:55,0.028s,PASSED
"navigateToUrl(""https://www.asaquality.ee/"")",Firefox 68.0,,,2019-07-25 11:20:55,2019-07-25 11:20:56,1.313s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Avaleht - ASA Quality Services/button_EST""))",Firefox 68.0,,,2019-07-25 11:20:56,2019-07-25 11:20:56,0.320s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Avaleht - ASA Quality Services/a_ENG""))",Firefox 68.0,,,2019-07-25 11:20:56,2019-07-25 11:20:58,1.111s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_About Us - ASA Quality/a_Academy""))",Firefox 68.0,,,2019-07-25 11:20:58,2019-07-25 11:20:59,1.155s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/button_Attend""))",Firefox 68.0,,,2019-07-25 11:20:59,2019-07-25 11:20:59,0.258s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/input_Error on form submit_btn btn-primary w-100 my-0""), STOP_ON_FAILURE)",Firefox 68.0,,,2019-07-25 11:20:59,2019-07-25 11:20:59,0.263s,PASSED
"waitForElementAttributeValue(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/div_First and last name""), ""class"", ""form-group has-error"", 2)",Firefox 68.0,,,2019-07-25 11:20:59,2019-07-25 11:20:59,0.056s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/button_close""))",Firefox 68.0,,,2019-07-25 11:20:59,2019-07-25 11:20:59,0.231s,PASSED
closeBrowser(),Firefox 68.0,,,2019-07-25 11:20:59,2019-07-25 11:21:00,0.918s,PASSED
,,,,,,,
Test Cases/tc_0_1_1_MM_Katalon_Demo_Kura_Login,Firefox 68.0,,,2019-07-25 11:21:00,2019-07-25 11:21:06,6.044s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/profile.php#login"")",Firefox 68.0,,,2019-07-25 11:21:01,2019-07-25 11:21:05,4.000s,PASSED
