Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Practice_TS_1,Firefox 68.0,,,2019-07-25 11:05:10,2019-07-25 11:06:15,1m - 4.114s,INCOMPLETE
,,,,,,,
Test Cases/tc_0_0_1_RR_ASA_quality_academy_attend,Firefox 68.0,,,2019-07-25 11:05:11,2019-07-25 11:05:23,11.789s,PASSED
"openBrowser("""")",Firefox 68.0,,,2019-07-25 11:05:11,2019-07-25 11:05:16,4.808s,PASSED
maximizeWindow(),Firefox 68.0,,,2019-07-25 11:05:16,2019-07-25 11:05:17,0.339s,PASSED
"navigateToUrl(""https://www.asaquality.ee/"")",Firefox 68.0,,,2019-07-25 11:05:17,2019-07-25 11:05:18,1.633s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Avaleht - ASA Quality Services/button_EST""))",Firefox 68.0,,,2019-07-25 11:05:18,2019-07-25 11:05:19,0.334s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Avaleht - ASA Quality Services/a_ENG""))",Firefox 68.0,,,2019-07-25 11:05:19,2019-07-25 11:05:20,1.190s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_About Us - ASA Quality/a_Academy""))",Firefox 68.0,,,2019-07-25 11:05:20,2019-07-25 11:05:21,1.145s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/button_Attend""))",Firefox 68.0,,,2019-07-25 11:05:21,2019-07-25 11:05:21,0.273s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/input_Error on form submit_btn btn-primary w-100 my-0""), STOP_ON_FAILURE)",Firefox 68.0,,,2019-07-25 11:05:21,2019-07-25 11:05:21,0.268s,PASSED
"waitForElementAttributeValue(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/div_First and last name""), ""class"", ""form-group has-error"", 2)",Firefox 68.0,,,2019-07-25 11:05:21,2019-07-25 11:05:22,0.066s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/button_close""))",Firefox 68.0,,,2019-07-25 11:05:22,2019-07-25 11:05:22,0.233s,PASSED
closeBrowser(),Firefox 68.0,,,2019-07-25 11:05:22,2019-07-25 11:05:23,0.956s,PASSED
,,,,,,,
Test Cases/tc_0_1_1_MM_Katalon_Demo_Kura_Login,Firefox 68.0,,,2019-07-25 11:05:23,2019-07-25 11:05:29,6.530s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/profile.php#login"")",Firefox 68.0,,,2019-07-25 11:05:23,2019-07-25 11:05:27,3.989s,PASSED
