Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Practice_TS_1,Firefox 68.0,,,2019-07-25 11:41:38,2019-07-25 11:42:03,24.861s,INCOMPLETE
,,,,,,,
Test Cases/tc_0_0_1_RR_ASA_quality_academy_attend,Firefox 68.0,,,2019-07-25 11:41:38,2019-07-25 11:41:48,9.737s,PASSED
"openBrowser("""")",Firefox 68.0,,,2019-07-25 11:41:39,2019-07-25 11:41:42,3.723s,PASSED
maximizeWindow(),Firefox 68.0,,,2019-07-25 11:41:42,2019-07-25 11:41:42,0.024s,PASSED
"navigateToUrl(""https://www.asaquality.ee/"")",Firefox 68.0,,,2019-07-25 11:41:42,2019-07-25 11:41:44,1.426s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Avaleht - ASA Quality Services/button_EST""))",Firefox 68.0,,,2019-07-25 11:41:44,2019-07-25 11:41:44,0.280s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Avaleht - ASA Quality Services/a_ENG""))",Firefox 68.0,,,2019-07-25 11:41:44,2019-07-25 11:41:45,1.167s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_About Us - ASA Quality/a_Academy""))",Firefox 68.0,,,2019-07-25 11:41:45,2019-07-25 11:41:46,1.101s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/button_Attend""))",Firefox 68.0,,,2019-07-25 11:41:46,2019-07-25 11:41:47,0.258s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/input_Error on form submit_btn btn-primary w-100 my-0""), STOP_ON_FAILURE)",Firefox 68.0,,,2019-07-25 11:41:47,2019-07-25 11:41:47,0.260s,PASSED
"waitForElementAttributeValue(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/div_First and last name""), ""class"", ""form-group has-error"", 2)",Firefox 68.0,,,2019-07-25 11:41:47,2019-07-25 11:41:47,0.060s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/button_close""))",Firefox 68.0,,,2019-07-25 11:41:47,2019-07-25 11:41:47,0.232s,PASSED
closeBrowser(),Firefox 68.0,,,2019-07-25 11:41:47,2019-07-25 11:41:48,0.908s,PASSED
,,,,,,,
Test Cases/tc_0_1_1_MM_Katalon_Demo_Kura_Login,Firefox 68.0,,,2019-07-25 11:41:48,2019-07-25 11:41:54,6.116s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/profile.php#login"")",Firefox 68.0,,,2019-07-25 11:41:48,2019-07-25 11:41:52,3.974s,PASSED
maximizeWindow(),Firefox 68.0,,,2019-07-25 11:41:52,2019-07-25 11:41:52,0.012s,PASSED
"click(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/button_Login""))",Firefox 68.0,,,2019-07-25 11:41:52,2019-07-25 11:41:53,0.400s,PASSED
"waitForElementPresent(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/p_Login failed Please ensure the username and password are valid""), 2)",Firefox 68.0,,,2019-07-25 11:41:53,2019-07-25 11:41:53,0.023s,PASSED
"setText(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Firefox 68.0,,,2019-07-25 11:41:53,2019-07-25 11:41:53,0.061s,PASSED
"setText(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/input_Password_password""), ""ThisIsNotAPassword"")",Firefox 68.0,,,2019-07-25 11:41:53,2019-07-25 11:41:53,0.045s,PASSED
