Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Practice_TS_1,Firefox 68.0,,,2019-07-25 11:18:23,2019-07-25 11:19:31,1m - 8.589s,INCOMPLETE
,,,,,,,
Test Cases/tc_0_0_1_RR_ASA_quality_academy_attend,Firefox 68.0,,,2019-07-25 11:18:23,2019-07-25 11:18:35,12.101s,PASSED
"openBrowser("""")",Firefox 68.0,,,2019-07-25 11:18:23,2019-07-25 11:18:28,4.590s,PASSED
maximizeWindow(),Firefox 68.0,,,2019-07-25 11:18:28,2019-07-25 11:18:28,0.304s,PASSED
"navigateToUrl(""https://www.asaquality.ee/"")",Firefox 68.0,,,2019-07-25 11:18:28,2019-07-25 11:18:30,2.224s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Avaleht - ASA Quality Services/button_EST""))",Firefox 68.0,,,2019-07-25 11:18:30,2019-07-25 11:18:31,0.314s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Avaleht - ASA Quality Services/a_ENG""))",Firefox 68.0,,,2019-07-25 11:18:31,2019-07-25 11:18:32,1.181s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_About Us - ASA Quality/a_Academy""))",Firefox 68.0,,,2019-07-25 11:18:32,2019-07-25 11:18:33,1.176s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/button_Attend""))",Firefox 68.0,,,2019-07-25 11:18:33,2019-07-25 11:18:33,0.271s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/input_Error on form submit_btn btn-primary w-100 my-0""), STOP_ON_FAILURE)",Firefox 68.0,,,2019-07-25 11:18:33,2019-07-25 11:18:33,0.270s,PASSED
"waitForElementAttributeValue(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/div_First and last name""), ""class"", ""form-group has-error"", 2)",Firefox 68.0,,,2019-07-25 11:18:33,2019-07-25 11:18:34,0.073s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/button_close""))",Firefox 68.0,,,2019-07-25 11:18:34,2019-07-25 11:18:34,0.273s,PASSED
closeBrowser(),Firefox 68.0,,,2019-07-25 11:18:34,2019-07-25 11:18:35,1.092s,PASSED
,,,,,,,
Test Cases/tc_0_1_1_MM_Katalon_Demo_Kura_Login,Firefox 68.0,,,2019-07-25 11:18:35,2019-07-25 11:18:41,6.608s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/profile.php#login"")",Firefox 68.0,,,2019-07-25 11:18:35,2019-07-25 11:18:39,4.042s,PASSED
maximizeWindow(),Firefox 68.0,,,2019-07-25 11:18:39,2019-07-25 11:18:39,0.273s,PASSED
"click(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/button_Login""))",Firefox 68.0,,,2019-07-25 11:18:39,2019-07-25 11:18:40,0.406s,PASSED
"waitForElementPresent(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/p_Login failed Please ensure the username and password are valid""), 2)",Firefox 68.0,,,2019-07-25 11:18:40,2019-07-25 11:18:40,0.029s,PASSED
"setText(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Firefox 68.0,,,2019-07-25 11:18:40,2019-07-25 11:18:40,0.072s,PASSED
"setText(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/input_Password_password""), ""ThisIsNotAPassword"")",Firefox 68.0,,,2019-07-25 11:18:40,2019-07-25 11:18:40,0.060s,PASSED
"click(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/button_Login""))",Firefox 68.0,,,2019-07-25 11:18:40,2019-07-25 11:18:40,0.377s,PASSED
"verifyTextPresent(""Make Appointment"", false, CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-07-25 11:18:40,2019-07-25 11:18:41,0.137s,PASSED
closeBrowser(),Firefox 68.0,,,2019-07-25 11:18:41,2019-07-25 11:18:41,0.950s,PASSED
,,,,,,,
Test Cases/tc_0_2_1_SM_Alibris_Book_Stoore,Firefox 68.0,,,2019-07-25 11:18:41,2019-07-25 11:19:31,49.634s,PASSED
"openBrowser(""https://www.alibris.com/"")",Firefox 68.0,,,2019-07-25 11:18:42,2019-07-25 11:18:47,5.266s,PASSED
maximizeWindow(),Firefox 68.0,,,2019-07-25 11:18:47,2019-07-25 11:18:47,0.284s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/tc_0_2_1_SM_OR/Page_Alibris - Buy new and used books textbooks music and movies/input_Search by Title Author or ISBN_keyword""), 2)",Firefox 68.0,,,2019-07-25 11:18:47,2019-07-25 11:18:47,0.024s,PASSED
"setText(findTestObject(""Object Repository/tc_0_2_1_SM_OR/Page_Alibris - Buy new and used books textbooks music and movies/input_Search by Title Author or ISBN_keyword""), ""Steam engine"")",Firefox 68.0,,,2019-07-25 11:18:47,2019-07-25 11:18:47,0.057s,PASSED
"click(findTestObject(""Object Repository/tc_0_2_1_SM_OR/Page_Alibris - Buy new and used books textbooks music and movies/input_Select Book Format Menu_hs""))",Firefox 68.0,,,2019-07-25 11:18:47,2019-07-25 11:18:53,5.257s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/tc_0_2_1_SM_OR/Page_steam engine - Alibris/a_Building Simple Model Steam Engines""), 3)",Firefox 68.0,,,2019-07-25 11:18:53,2019-07-25 11:18:53,0.571s,PASSED
