Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Practice_TS_1,Firefox 68.0,,,2019-07-24 17:02:41,2019-07-24 17:02:59,17.725s,INCOMPLETE
,,,,,,,
Test Cases/tc_0_0_1_RR_ASA_quality_academy_attend,Firefox 68.0,,,2019-07-24 17:02:41,2019-07-24 17:02:52,10.978s,PASSED
"openBrowser("""")",Firefox 68.0,,,2019-07-24 17:02:42,2019-07-24 17:02:46,4.111s,PASSED
maximizeWindow(),Firefox 68.0,,,2019-07-24 17:02:46,2019-07-24 17:02:46,0.293s,PASSED
"navigateToUrl(""https://www.asaquality.ee/"")",Firefox 68.0,,,2019-07-24 17:02:46,2019-07-24 17:02:48,1.798s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Avaleht - ASA Quality Services/button_EST""))",Firefox 68.0,,,2019-07-24 17:02:48,2019-07-24 17:02:48,0.316s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Avaleht - ASA Quality Services/a_ENG""))",Firefox 68.0,,,2019-07-24 17:02:48,2019-07-24 17:02:49,1.195s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_About Us - ASA Quality/a_Academy""))",Firefox 68.0,,,2019-07-24 17:02:49,2019-07-24 17:02:50,1.221s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/button_Attend""))",Firefox 68.0,,,2019-07-24 17:02:50,2019-07-24 17:02:51,0.277s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/input_Error on form submit_btn btn-primary w-100 my-0""), STOP_ON_FAILURE)",Firefox 68.0,,,2019-07-24 17:02:51,2019-07-24 17:02:51,0.262s,PASSED
"waitForElementAttributeValue(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/div_First and last name""), ""class"", ""form-group has-error"", 2)",Firefox 68.0,,,2019-07-24 17:02:51,2019-07-24 17:02:51,0.068s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/button_close""))",Firefox 68.0,,,2019-07-24 17:02:51,2019-07-24 17:02:51,0.231s,PASSED
closeBrowser(),Firefox 68.0,,,2019-07-24 17:02:51,2019-07-24 17:02:52,0.986s,PASSED
,,,,,,,
Test Cases/tc_0_1_1_MM_Katalon_Demo_Kura_Login,Firefox 68.0,,,2019-07-24 17:02:52,2019-07-24 17:02:59,6.511s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/profile.php#login"")",Firefox 68.0,,,2019-07-24 17:02:53,2019-07-24 17:02:57,4.099s,PASSED
maximizeWindow(),Firefox 68.0,,,2019-07-24 17:02:57,2019-07-24 17:02:57,0.277s,PASSED
"click(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/button_Login""))",Firefox 68.0,,,2019-07-24 17:02:57,2019-07-24 17:02:57,0.389s,PASSED
"waitForElementPresent(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/p_Login failed Please ensure the username and password are valid""), 2)",Firefox 68.0,,,2019-07-24 17:02:57,2019-07-24 17:02:57,0.026s,PASSED
"setText(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Firefox 68.0,,,2019-07-24 17:02:57,2019-07-24 17:02:57,0.059s,PASSED
"setText(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/input_Password_password""), ""ThisIsNotAPassword"")",Firefox 68.0,,,2019-07-24 17:02:57,2019-07-24 17:02:57,0.060s,PASSED
"click(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/button_Login""))",Firefox 68.0,,,2019-07-24 17:02:57,2019-07-24 17:02:58,0.366s,PASSED
"verifyTextPresent(""Make Appointment"", false, CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-07-24 17:02:58,2019-07-24 17:02:58,0.119s,PASSED
closeBrowser(),Firefox 68.0,,,2019-07-24 17:02:58,2019-07-24 17:02:59,0.923s,PASSED
